2.507446,1
3.743082,2
4.930821,1
5.25763,4
5.990006,2
7.114608,1
8.335268,2
8.722273,5
9.382214,1
10.3755,1
11.49779,2
11.96928,3
12.6545,1
13.60131,4
13.94503,2
14.77926,1
15.87867,1
17.06702,2
17.50214,3
18.34801,1
18.87641,4
18.89678,5
19.55754,2
20.40699,1
21.37189,2
22.64754,1
23.71935,1
24.74651,1
25.84459,2
27.05418,1
27.07434,2
27.40869,5
28.3276,1
28.75911,3
29.41021,1
29.95786,4
30.45379,2
31.48244,1
32.60898,1
33.71685,2
34.19632,5
34.91591,1
35.9118,2
37.00333,1
37.76025,4
39.78014,1
39.79966,2
40.55982,2
41.43718,1
42.20041,2
43.04005,1
44.05803,1
44.88513,2
45.61915,5
46.47405,1
47.62444,2
48.82208,1
50.40476,2
51.44148,2
52.54063,1
53.75408,2
54.13807,4
54.93181,1
55.65765,5
56.42048,2
57.18376,1
57.9962,3
59.37427,1
60.30708,2
61.46428,1
62.5201,2
62.90133,5
63.72419,1
64.48407,3
64.88316,2
65.92816,2
66.42178,4
67.0837,1
67.10361,2
68.03545,3
68.49159,2
69.30071,1
70.33214,4
71.47996,1
72.66628,2
73.05322,5
73.79294,1
74.35687,4
74.92077,2
75.61237,3
75.97651,1
76.95901,2
77.68112,4
78.32152,1
79.39248,2
80.71156,1
82.13291,2
83.17884,1
84.19464,5
85.31638,2
86.44331,1
87.56096,2
88.41784,1
89.15736,5
89.7738,1
90.57744,4
91.4342,2
92.06149,1
92.7485,2
93.32923,4
93.84547,1
94.31574,3
94.87517,1
95.43983,4
95.99438,2
96.64316,5
97.09788,1
97.63616,3
98.17715,2
99.02087,1
99.04168,2
100.3955,2
101.5167,1
101.8598,4
102.6847,2
103.7268,2
104.1852,5
104.8408,1
105.7788,4
109.7279,2
112.0102,1
114.2789,2
115.3315,1
116.2114,5
117.129,1
117.7928,2
118.8212,4
119.8153,1
119.8372,2
121.1599,2
122.2514,4
123.0908,1
123.1309,2
124.1542,5
125.3294,3
128.0601,2
129.2122,4
129.8125,1
130.8913,2
131.9299,1
132.5199,2
133.0907,4
133.8081,1
134.3587,3
135.2229,1
135.2229,2
136.0274,4
136.0274,5
136.6115,2
137.6288,1
138.7093,2
139.4714,4
140.1043,1
140.8003,2
141.549,1
141.5696,2
142.3586,5
142.9613,2
143.7094,3
144.3113,1
144.8823,4
145.4315,2
146.0174,1
146.5995,2
147.4243,2
148.0895,1
148.6786,5
149.2342,2
149.2721,1
149.8483,1
150.4106,3
150.9345,2
151.4934,4
152.0215,1
152.5941,5
153.1864,2
153.803,1
154.3099,3
154.9301,5
155.418,1
155.9406,4
156.5147,2
157.2349,3
157.7177,1
158.7161,2
159.4894,5
159.9108,3
160.3722,1
160.9435,2
161.5136,1
162.0816,4
162.614,2
163.1632,1
163.7351,2
164.2472,2
164.7828,1
165.3892,5
165.9602,2
166.5504,1
167.1164,1
167.7333,3
168.3649,2
